Florida,188
New York,29
Pennsylvania,627
Virginia,1
West Virginia,634
Illinois,828
Indiana,176
Kansas,3,331
Kentucky,357
Michigan,500
Missouri,11
Nebraska,229
North Dakota,35410
Ohio,2436
Oklahoma,12414
South Dakota,131
Tennessee,23
Alabama,713
Arkansas,504
Louisiana,5012
Mississippi,1842
New Mexico,11574
Texas,103534
Colorado,10047
Montana,2223
Utah,2789
Wyoming,7103
Alaska,16191
Arizona,1
California,16964
Nevada,26
