X,0
FL,188
NY,29
PA,627
VA,1
WV,634
IL,828
IN,176
KS,3331
KY,357
MI,500
MO,11
NE,229
ND,35410
OH,2436
OK,12414
SD,131
TN,23
AL,713
AR,504
LA,5012
MS,1842
NM,11574
TX,103534
CO,10047
MT,2223
UT,2789
WY,7103
AK,16191
AZ,1
CA,16964
NV,26
